date,week,weekday,day,work_hours
2022-07-15,29,5,workday,8
2022-07-16,29,6,day_off,0
2022-07-17,30,7,day_off,0
2022-07-18,30,1,workday,8
2022-07-19,30,2,workday,8
2022-07-20,30,3,workday,8
2022-07-21,30,4,workday,8
2022-07-22,30,5,workday,8
2022-07-23,30,6,day_off,0
2022-07-24,31,7,day_off,0
2022-07-25,31,1,workday,8
2022-07-26,31,2,workday,8
2022-07-27,31,3,workday,8
2022-07-28,31,4,workday,8
2022-07-29,31,5,workday,8
2022-07-30,31,6,day_off,0
2022-07-31,32,7,day_off,0
2022-08-01,32,1,workday,8
2022-08-02,32,2,workday,8
2022-08-03,32,3,workday,8
2022-08-04,32,4,workday,8
2022-08-05,32,5,workday,8
2022-08-06,32,6,day_off,0
2022-08-07,33,7,day_off,0
2022-08-08,33,1,workday,8
2022-08-09,33,2,workday,8
2022-08-10,33,3,workday,8
2022-08-11,33,4,workday,8
2022-08-12,33,5,workday,8
2022-08-13,33,6,day_off,0
2022-08-14,34,7,day_off,0
2022-08-15,34,1,workday,8
2022-08-16,34,2,workday,8
2022-08-17,34,3,workday,8
2022-08-18,34,4,workday,8
2022-08-19,34,5,workday,8
2022-08-20,34,6,day_off,0
2022-08-21,35,7,day_off,0
2022-08-22,35,1,workday,8
2022-08-23,35,2,workday,8
2022-08-24,35,3,workday,8
2022-08-25,35,4,workday,8
2022-08-26,35,5,workday,8
2022-08-27,35,6,day_off,0
2022-08-28,36,7,day_off,0
2022-08-29,36,1,workday,8
2022-08-30,36,2,workday,8
2022-08-31,36,3,workday,8
2022-09-01,36,4,workday,8
2022-09-02,36,5,workday,8
2022-09-03,36,6,day_off,0
2022-09-04,37,7,day_off,0
2022-09-05,37,1,workday,8
2022-09-06,37,2,workday,8
2022-09-07,37,3,workday,8
2022-09-08,37,4,workday,8
2022-09-09,37,5,workday,8
2022-09-10,37,6,day_off,0
2022-09-11,38,7,day_off,0
2022-09-12,38,1,workday,8
2022-09-13,38,2,workday,8
2022-09-14,38,3,workday,8
2022-09-15,38,4,workday,8
2022-09-16,38,5,workday,8
2022-09-17,38,6,day_off,0
2022-09-18,39,7,day_off,0
2022-09-19,39,1,workday,8
2022-09-20,39,2,workday,8
2022-09-21,39,3,workday,8
2022-09-22,39,4,workday,8
2022-09-23,39,5,workday,8
2022-09-24,39,6,day_off,0
2022-09-25,40,7,day_off,0
2022-09-26,40,1,workday,8
2022-09-27,40,2,workday,8
2022-09-28,40,3,workday,8
2022-09-29,40,4,workday,8
2022-09-30,40,5,workday,8
2022-10-01,40,6,day_off,0
2022-10-02,41,7,day_off,0
2022-10-03,41,1,workday,8
2022-10-04,41,2,workday,8
2022-10-05,41,3,workday,8
2022-10-06,41,4,workday,8
2022-10-07,41,5,workday,8
2022-10-08,41,6,day_off,0
2022-10-09,42,7,day_off,0
2022-10-10,42,1,workday,8
2022-10-11,42,2,workday,8
2022-10-12,42,3,workday,8
2022-10-13,42,4,workday,8
2022-10-14,42,5,workday,8
2022-10-15,42,6,day_off,0
2022-10-16,43,7,day_off,0
2022-10-17,43,1,workday,8
2022-10-18,43,2,workday,8
2022-10-19,43,3,workday,8
2022-10-20,43,4,workday,8
2022-10-21,43,5,workday,8
2022-10-22,43,6,day_off,0
2022-10-23,44,7,day_off,0
2022-10-24,44,1,workday,8
2022-10-25,44,2,workday,8
2022-10-26,44,3,workday,8
2022-10-27,44,4,workday,8
2022-10-28,44,5,workday,8
2022-10-29,44,6,day_off,0
2022-10-30,45,7,day_off,0
2022-10-31,45,1,workday,8
2022-11-01,45,2,workday,8
2022-11-02,45,3,workday,8
2022-11-03,45,4,workday,8
2022-11-04,45,5,workday,8
2022-11-05,45,6,day_off,0
2022-11-06,46,7,day_off,0
2022-11-07,46,1,workday,8
2022-11-08,46,2,workday,8
2022-11-09,46,3,workday,8
2022-11-10,46,4,workday,8
2022-11-11,46,5,workday,8
2022-11-12,46,6,day_off,0
2022-11-13,47,7,day_off,0
2022-11-14,47,1,workday,8
2022-11-15,47,2,workday,8
2022-11-16,47,3,workday,8
2022-11-17,47,4,workday,8
2022-11-18,47,5,workday,8
2022-11-19,47,6,day_off,0
2022-11-20,48,7,day_off,0
2022-11-21,48,1,workday,8
2022-11-22,48,2,workday,8
2022-11-23,48,3,workday,8
2022-11-24,48,4,workday,8
2022-11-25,48,5,workday,8
2022-11-26,48,6,day_off,0
2022-11-27,49,7,day_off,0
2022-11-28,49,1,workday,8
2022-11-29,49,2,workday,8
2022-11-30,49,3,workday,8
2022-12-01,49,4,workday,8
2022-12-02,49,5,workday,8
2022-12-03,49,6,day_off,0
2022-12-04,50,7,day_off,0
2022-12-05,50,1,workday,8
2022-12-06,50,2,workday,8
2022-12-07,50,3,workday,8
2022-12-08,50,4,workday,8
2022-12-09,50,5,workday,8
2022-12-10,50,6,day_off,0
2022-12-11,51,7,day_off,0
2022-12-12,51,1,workday,8
2022-12-13,51,2,workday,8
2022-12-14,51,3,workday,8
2022-12-15,51,4,workday,8
2022-12-16,51,5,workday,8
2022-12-17,51,6,day_off,0
2022-12-18,52,7,day_off,0
2022-12-19,52,1,workday,8
2022-12-20,52,2,workday,8
2022-12-21,52,3,workday,8
2022-12-22,52,4,workday,8
2022-12-23,52,5,workday,8
2022-12-24,52,6,day_off,0
2022-12-25,53,7,day_off,0
2022-12-26,53,1,workday,8
2022-12-27,53,2,workday,8
2022-12-28,53,3,workday,8
2022-12-29,53,4,workday,8
2022-12-30,53,5,workday,8
2022-12-31,53,6,day_off,0
2023-01-01,1,7,day_off,0
2023-01-02,1,1,workday,8
2023-01-03,1,2,workday,8
2023-01-04,1,3,workday,8
2023-01-05,1,4,workday,8
2023-01-06,1,5,workday,8
2023-01-07,1,6,day_off,0
2023-01-08,2,7,day_off,0
2023-01-09,2,1,workday,8
2023-01-10,2,2,workday,8
2023-01-11,2,3,workday,8
2023-01-12,2,4,workday,8
2023-01-13,2,5,workday,8
2023-01-14,2,6,day_off,0
2023-01-15,3,7,day_off,0
2023-01-16,3,1,workday,8
2023-01-17,3,2,workday,8
2023-01-18,3,3,workday,8
2023-01-19,3,4,workday,8
2023-01-20,3,5,workday,8
2023-01-21,3,6,day_off,0
2023-01-22,4,7,day_off,0
2023-01-23,4,1,workday,8
2023-01-24,4,2,workday,8
2023-01-25,4,3,workday,8
2023-01-26,4,4,workday,8
2023-01-27,4,5,workday,8
2023-01-28,4,6,day_off,0
2023-01-29,5,7,day_off,0
2023-01-30,5,1,workday,8
2023-01-31,5,2,workday,8
2023-02-01,5,3,workday,8
2023-02-02,5,4,workday,8
2023-02-03,5,5,workday,8
2023-02-04,5,6,day_off,0
2023-02-05,6,7,day_off,0
2023-02-06,6,1,workday,8
2023-02-07,6,2,workday,8
2023-02-08,6,3,workday,8
2023-02-09,6,4,workday,8
2023-02-10,6,5,workday,8
2023-02-11,6,6,day_off,0
2023-02-12,7,7,day_off,0
2023-02-13,7,1,workday,8
2023-02-14,7,2,workday,8
2023-02-15,7,3,workday,8
2023-02-16,7,4,workday,8
2023-02-17,7,5,workday,8
2023-02-18,7,6,day_off,0
2023-02-19,8,7,day_off,0
2023-02-20,8,1,workday,8
2023-02-21,8,2,workday,8
2023-02-22,8,3,workday,8
2023-02-23,8,4,workday,8
2023-02-24,8,5,workday,8
2023-02-25,8,6,day_off,0
2023-02-26,9,7,day_off,0
2023-02-27,9,1,workday,8
2023-02-28,9,2,workday,8
2023-03-01,9,3,workday,8
2023-03-02,9,4,workday,8
2023-03-03,9,5,workday,8
2023-03-04,9,6,day_off,0
2023-03-05,10,7,day_off,0
2023-03-06,10,1,workday,8
2023-03-07,10,2,workday,8
2023-03-08,10,3,workday,8
2023-03-09,10,4,workday,8
2023-03-10,10,5,workday,8
2023-03-11,10,6,day_off,0
2023-03-12,11,7,day_off,0
2023-03-13,11,1,workday,8
2023-03-14,11,2,workday,8
2023-03-15,11,3,workday,8
2023-03-16,11,4,workday,8
2023-03-17,11,5,workday,8
2023-03-18,11,6,day_off,0
2023-03-19,12,7,day_off,0
2023-03-20,12,1,workday,8
2023-03-21,12,2,workday,8
2023-03-22,12,3,workday,8
